Grid Pos (microns),Ec (eV),Efn (eV),Ev (eV),Efp (eV)
0.0000e+00,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.0038e-03,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.0077e-03,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
3.0115e-03,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
4.0154e-03,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
5.0192e-03,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
6.0231e-03,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
7.0269e-03,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
8.0308e-03,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
9.0346e-03,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.0038e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.1042e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.2046e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.3050e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.4054e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.5058e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.6062e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.7065e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.8069e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
1.9073e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.0077e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.1081e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.2085e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.3088e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.4092e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.5096e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.6100e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.7104e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.8108e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
2.9112e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
3.0115e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
3.1119e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
3.2123e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
3.3127e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
3.4131e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
3.5135e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
3.6138e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
3.7142e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
3.8146e-02,-3.9974e+00,-5.5184e+00,-5.5424e+00,-5.5184e+00
